collider,boson,energy,experiment,channel,mass_window_min,mass_window_max,Official meas.,xs [pb],Stat. unc. [pb],Syst. unc. [pb],Theo. unc. [pb],Lumi. unc. [pb],Tot. unc. [pb],Tot. unc. [%],Phase space extrapolation factor,reference,notes
pp,wm,5.02,CMS,lep,,,True,2898.0,4.0,15.0,,55.0,57.148928248918196,2.0,1.0,https://cms.cern.ch/iCMS/analysisadmin/cadilines?line=SMP-20-004&tp=an&id=2327&ancode=SMP-20-004,Data from Figure 8 in PAS; L = 298 pb-1
pp,z,7.0,CMS,lep,60.0,120.0,False,986.4,0.6,5.9,21.7,21.7,31.256199385081995,3.2,1.0,https://cms-results.web.cern.ch/cms-results/public-results/publications/SMP-13-003/index.html,Data from Table 6; Results for the combined channel pre-FSR full acceptance; L = 4.5(4.8) fb-1 electron(muon)
